"subject","activity","FrequencyBodyAcc-mean()-X","FrequencyBodyAcc-mean()-Y","FrequencyBodyAcc-mean()-Z","FrequencyBodyAcc-std()-X","FrequencyBodyAcc-std()-Y","FrequencyBodyAcc-std()-Z","FrequencyBodyAccJerk-mean()-X","FrequencyBodyAccJerk-mean()-Y","FrequencyBodyAccJerk-mean()-Z","FrequencyBodyAccJerk-std()-X","FrequencyBodyAccJerk-std()-Y","FrequencyBodyAccJerk-std()-Z","FrequencyBodyAccMag-mean()","FrequencyBodyAccMag-std()","FrequencyBodyBodyAccJerkMag-mean()","FrequencyBodyBodyAccJerkMag-std()","FrequencyBodyBodyGyroJerkMag-mean()","FrequencyBodyBodyGyroJerkMag-std()","FrequencyBodyBodyGyroMag-mean()","FrequencyBodyBodyGyroMag-std()","FrequencyBodyGyro-mean()-X","FrequencyBodyGyro-mean()-Y","FrequencyBodyGyro-mean()-Z","FrequencyBodyGyro-std()-X","FrequencyBodyGyro-std()-Y","FrequencyBodyGyro-std()-Z","TimeBodyAcc-mean()-X","TimeBodyAcc-mean()-Y","TimeBodyAcc-mean()-Z","TimeBodyAcc-std()-X","TimeBodyAcc-std()-Y","TimeBodyAcc-std()-Z","TimeBodyAccJerk-mean()-X","TimeBodyAccJerk-mean()-Y","TimeBodyAccJerk-mean()-Z","TimeBodyAccJerk-std()-X","TimeBodyAccJerk-std()-Y","TimeBodyAccJerk-std()-Z","TimeBodyAccJerkMag-mean()","TimeBodyAccJerkMag-std()","TimeBodyAccMag-mean()","TimeBodyAccMag-std()","TimeBodyGyro-mean()-X","TimeBodyGyro-mean()-Y","TimeBodyGyro-mean()-Z","TimeBodyGyro-std()-X","TimeBodyGyro-std()-Y","TimeBodyGyro-std()-Z","TimeBodyGyroJerk-mean()-X","TimeBodyGyroJerk-mean()-Y","TimeBodyGyroJerk-mean()-Z","TimeBodyGyroJerk-std()-X","TimeBodyGyroJerk-std()-Y","TimeBodyGyroJerk-std()-Z","TimeBodyGyroJerkMag-mean()","TimeBodyGyroJerkMag-std()","TimeBodyGyroMag-mean()","TimeBodyGyroMag-std()","TimeGravityAcc-mean()-X","TimeGravityAcc-mean()-Y","TimeGravityAcc-mean()-Z","TimeGravityAcc-std()-X","TimeGravityAcc-std()-Y","TimeGravityAcc-std()-Z","TimeGravityAccMag-mean()","TimeGravityAccMag-std()"
2,"Standing",-0.99513932,-0.96151741,-0.98347904,-0.99537261,-0.99573512,-0.9529879,-0.95079236,-0.87826277,-0.83860362,-0.86460754,-0.98432463,-0.98743883,-0.99472162,-0.99381413,-0.993993,-0.99217175,-0.99671989,-0.99216154,-0.98864914,-0.98603166,-0.94385796,-0.97510611,-0.995512415,-0.992185085,-0.986476875,-0.99066549,-0.99059865,-0.99461229,-0.997229,-0.99260545,-0.99118354,-0.99398426,NA,NA,NA,NA,NA,NA,-0.99751892,-0.99730116,-0.99057193,-0.98980498,NA,NA,NA,NA,NA,NA,NA,NA,-0.90730756,-0.93821243,-0.98327268,-0.98584291,-0.99807903,-0.99569128,-0.99749031,-0.997454,-0.99689514,-0.99673235,-0.97488753,NA,NA,NA,-0.99199079,-0.99599965
2,"Laying",-0.99547503,-0.99697933,-0.92405678,-0.98962211,-0.99789178,-0.99285069,-0.99284644,-0.9968501,-0.99671411,-0.99688334,-0.99730295,-0.99669909,NA,NA,NA,NA,NA,NA,NA,NA,-0.99598661,-0.99545596,-0.9733666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.89651074,-0.98847859,-0.99107021,-0.995875115,-0.996049985,-0.99356611,-0.97206917,-0.99395679,-0.99664298,-0.99743539,-0.99838256,-0.99775496,-0.99696236,-0.99716568,-0.99661642,-0.97499294,-0.99025617,-0.99554724,-0.99344882,-0.99425848,-0.9955897,-0.994447485,-0.992965925,NA,NA,NA,NA,NA,NA,-0.99220379,-0.99327461
3,"Walking",-0.57216036,-0.529147045,-0.537225785,-0.56910922,-0.55264691,-0.59892254,-0.59601826,-0.57649894,-0.60473219,-0.60491164,-0.6508563,-0.62122233,-0.56035601,-0.56156152,-0.57728058,-0.65566996,-0.49914335,-0.61158553,-0.65346887,-0.4900234,-0.51253259,-0.52184274,-0.66256561,-0.62794871,-0.62852537,-0.67205202,-0.64260191,-0.59124772,-0.60447788,NA,NA,NA,NA,NA,NA,NA,-0.60786357,-0.45152548,-0.45072401,-0.45515802,-0.48807341,-0.54332515,-0.49607625,-0.51701221,-0.42706056,-0.47048958,-0.60173947,-0.61961207,-0.47092956,-0.48050563,-0.59371765,-0.50272866,-0.45593321,-0.41762629,-0.539776415,-0.56131509,-0.49256738,-0.38740455,NA,NA,NA,NA,NA,NA,-0.52119512,-0.46872714
3,"Walking Upstairs",-0.68042595,-0.71370889,-0.78120125,-0.72840217,-0.73225941,-0.76860242,-0.74368884,-0.74397848,-0.6855941,-0.72231086,-0.74432187,-0.74421967,-0.69013298,-0.77115677,NA,NA,NA,NA,NA,NA,-0.69075867,-0.71392952,-0.72034598,-0.73178456,-0.7532221,-0.71933505,NA,NA,NA,-0.81734898,-0.79049151,-0.74517351,-0.73218266,-0.62965238,-0.6497867,-0.76938075,-0.74342022,-0.69523951,-0.78769187,-0.65359292,-0.81447845,-0.81920398,-0.65287553,-0.69306748,-0.71364895,-0.73186029,-0.7368573,-0.69383749,-0.70005268,-0.78425149,-0.774599615,-0.76111537,-0.80651313,-0.82969455,-0.76036349,-0.77049575,-0.70882058,-0.73933806,-0.76882953,-0.80848345,-0.78854314,-0.71014973,-0.64720999,-0.75916409,-0.79959751,-0.75986558
3,"Walking Downstairs",NA,NA,NA,-0.67696311,-0.68507174,-0.55631072,-0.5797569,-0.65634334,-0.63014452,-0.63298911,-0.62755331,-0.62037978,-0.62078147,-0.64051091,-0.62162155,-0.51547257,-0.60740617,-0.63278618,-0.59255508,-0.62300494,-0.65751161,-0.64470421,-0.57772517,-0.63531344,-0.74409605,-0.67460116,-0.59970704,-0.62031359,-0.61740641,-0.77272747,-0.66837143,-0.60429725,-0.51698128,-0.4633728,-0.51782108,-0.67793018,-0.67295941,-0.68531884,NA,NA,NA,NA,-0.66347762,-0.41691875,-0.53257908,-0.5481292,-0.59984417,-0.6060598,-0.62758424,-0.60919225,NA,NA,NA,NA,NA,NA,NA,NA,-0.66359699,-0.7697043,-0.72295677,-0.67671163,-0.76574733,-0.54731826,NA,NA
3,"Sitting",-0.96112,-0.99308984,-0.99221269,-0.99377793,-0.99447143,-0.99046849,-0.98871926,-0.95069565,-0.977158805,-0.981700735,-0.9917516,-0.98994366,-0.98491956,-0.98738815,-0.9538088,-0.98991025,-0.99514732,-0.99615329,-0.99305067,-0.99281688,-0.99521296,-0.99153342,-0.95651958,-0.93847223,-0.92549271,-0.97979053,-0.99703645,-0.99337275,-0.98824279,-0.98682041,-0.99443082,-0.99244008,NA,NA,NA,NA,NA,NA,-0.98556233,-0.98564129,-0.99497116,-0.98443208,NA,NA,NA,NA,NA,NA,-0.92639515,-0.96767137,-0.98762671,-0.99477589,-0.99695226,-0.99624084,-0.97059049,-0.95820941,-0.79811068,-0.87668764,-0.99309335,-0.99684952,NA,NA,NA,NA,-0.98722192,-0.99030837
3,"Standing",-0.98616683,-0.99448673,-0.99580811,-0.99732773,-0.99831468,-0.9994442,-0.99880833,-0.98099966,NA,NA,NA,NA,NA,NA,-0.8511373,-0.95291229,-0.98017257,-0.97906184,-0.92045234,-0.93782322,NA,NA,NA,NA,NA,NA,-0.98553911,-0.99768821,-0.99723876,-0.99545772,-0.99522792,-0.9965443,-0.9417722,-0.91075858,-0.92095285,-0.94849174,-0.97289466,-0.823663275,-0.99172693,-0.99317098,-0.93366499,-0.94349731,-0.956160875,-0.97822371,-0.976775325,-0.973347405,-0.951029545,-0.95759396,-0.9367933,-0.92006807,-0.89077141,-0.89875651,-0.92344791,-0.98204977,-0.98214015,-0.98402707,-0.99472981,-0.99008429,-0.99826758,-0.9980737,-0.90377362,-0.93309686,-0.90385586,-0.89196507,-0.94029927,-0.98108161
3,"Laying",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.92597492,-0.96890652,-0.98286933,-0.96990415,-0.96773003,-0.95229144,-0.9727925,-0.97274537,-0.96348712,-0.96297071,-0.99331646,-0.99410283,-0.9971092,-0.99873609,-0.9989492,-0.99772717,-0.90346149,-0.96953501,-0.96870197,-0.99477896,-0.99515294,-0.99446238,-0.99532719,-0.982282505,-0.98131141,-0.98439962,-0.97639447,-0.95606459,-0.99417574,-0.99700901,-0.99881327,-0.99755143,-0.95933194,-0.99197317,-0.97710419,-0.97139577,-0.94165096,-0.98768725,-0.992329,-0.99818921,-0.99846779,-0.99875787,-0.99866729,-0.99852395,NA,NA,-0.99883182,-0.99875427,-0.99592536,-0.99609175,-0.963055745,-0.98954997,-0.98832198,-0.99404952,-0.99776601,-0.99546802
4,"Walking",-0.67632454,-0.70468033,-0.804621165,-0.783229585,-0.77659466,-0.78471393,-0.7760761,-0.78125184,-0.77545493,-0.76298342,-0.78001783,-0.75375904,-0.77309149,-0.78971719,-0.74194702,-0.675387,-0.75477544,-0.75694121,-0.71636088,-0.75553832,-0.7818377,-0.77203306,-0.7801096,-0.780475,-0.74982622,-0.77778925,-0.74402907,-0.74169377,-0.75201243,-0.73771161,-0.78430716,NA,NA,NA,-0.81884534,-0.78762478,-0.80442789,-0.78127012,-0.71105218,-0.6661971,-0.7888012,-0.7160056,-0.75825316,-0.70209634,-0.73408551,-0.77138435,-0.78452587,-0.74868655,-0.77535223,-0.82068248,-0.81099972,-0.77970659,-0.81146523,-0.80574654,-0.70158723,-0.70979852,-0.6910853,-0.66133248,NA,NA,NA,NA,NA,NA,-0.67886436,-0.756472
4,"Walking Upstairs",-0.79726395,-0.72777185,-0.73446394,-0.79449868,-0.7769158,-0.76105759,-0.80005122,-0.79140757,-0.7793967,-0.7655275,-0.82423159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83542832,-0.83526836,-0.81874402,-0.82208735,-0.86187403,-0.77184324,-0.83428883,-0.83294113,-0.85134765,-0.84521476,-0.77729354,-0.80182086,-0.81414341,-0.82725337,-0.8368427,-0.79727097,-0.77345709,-0.8131955,-0.79381601,-0.77906159,-0.76501543,-0.73823443,-0.77966086,-0.80782212,-0.76286189,-0.75505444,-0.70485093,-0.74855709,-0.74686726,-0.70593574,-0.87426971,-0.80406488,-0.78981792,-0.8307135,-0.8290896,-0.82844013,-0.82144051,-0.80467911
4,"Walking Downstairs",NA,NA,NA,NA,NA,-0.77114149,-0.70680019,-0.73010349,-0.72247308,-0.687253,-0.65298227,-0.82141952,-0.68686718,-0.67426354,-0.67371373,-0.70567499,-0.75242403,-0.69174337,-0.84160659,-0.80962732,-0.75396837,-0.6434297,-0.68149524,-0.75530101,-0.71265765,-0.74813859,-0.62705218,-0.65327095,NA,NA,NA,-0.73453639,-0.55064383,-0.6455283,-0.67184288,-0.72563421,-0.73652354,-0.5665067,NA,NA,NA,NA,-0.5569166,-0.60088825,-0.76013328,-0.74015618,-0.62529675,-0.6509424,-0.73621322,-0.46819424,-0.51175473,NA,NA,NA,NA,NA,NA,NA,-0.73222508,-0.62199616,-0.58859218,-0.68756844,-0.74646578,-0.68422531,NA,NA
4,"Sitting",-0.98161582,-0.98235132,-0.98825503,-0.98258269,-0.97859176,-0.99019983,-0.97807886,-0.98369042,-0.9954628,-0.98043806,NA,NA,-0.95542286,-0.94875143,-0.99516989,-0.99812904,-0.9621074,-0.95674966,-0.99686359,-0.96065012,NA,NA,NA,NA,NA,NA,-0.95288188,-0.97675197,-0.99338954,-0.99509948,-0.99660086,-0.99425052,-0.97013842,-0.95649432,-0.95735371,-0.92415653,-0.92945783,-0.95473298,-0.99559928,-0.99632676,-0.99475232,-0.99170239,NA,NA,NA,NA,NA,NA,NA,NA,-0.96856987,-0.9964851,-0.99581612,-0.99704606,-0.97176928,-0.98877269,-0.99640524,-0.97201066,-0.82713754,-0.9921856,-0.97419581,-0.97074313,-0.9941721,-0.98612747,-0.9924997,-0.99435195
4,"Standing",-0.97841453,-0.97712001,-0.97601463,-0.98766679,-0.99225818,-0.9344862,-0.93750688,-0.98634397,-0.98315841,-0.97547149,-0.96531072,-0.97202972,NA,NA,NA,NA,-0.79392695,-0.91482175,NA,NA,-0.97559668,-0.98623252,-0.98725418,-0.98866433,-0.99067054,-0.96713248,-0.95215881,-0.97716618,-0.97160318,-0.96896847,-0.96167747,-0.956324,-0.99428308,-0.94361841,-0.96829753,-0.99396016,-0.98338352,-0.98265951,-0.94779245,-0.97293487,-0.76013813,-0.90650776,-0.99370068,-0.98546211,-0.97887926,-0.97930075,-0.98458789,-0.98557015,-0.98397963,-0.94092955,NA,NA,NA,NA,-0.98277031,-0.97729076,-0.98082739,-0.98295508,-0.99293147,-0.99622342,-0.99594408,-0.99576991,-0.99448828,-0.99526296,-0.93315074,-0.94851327
4,"Laying",-0.99674553,-0.99596312,NA,NA,NA,NA,NA,NA,NA,NA,-0.92181616,-0.94197513,-0.99703028,-0.99679966,-0.99690261,-0.99674919,-0.99342854,-0.94843391,-0.99660828,-0.99600611,-0.99257668,-0.99635339,-0.9975531,-0.99691043,-0.99658017,-0.99746186,-0.9117296,-0.89781644,-0.97781293,-0.99578392,-0.99703755,-0.99568758,-0.99780014,-0.98580863,NA,NA,NA,NA,-0.99764823,-0.99701993,-0.92125258,-0.97624832,-0.9207544,-0.9589429,-0.9927829,-0.97816244,-0.95188057,-0.94744822,-0.99018221,-0.99664337,-0.99518829,-0.99544301,-0.99704776,-0.97181444,-0.99660326,-0.99679259,-0.99605143,-0.995337,-0.995481,-0.99524693,-0.99516263,-0.99540687,-0.99642883,-0.99720837,-0.99599699,-0.9978097
5,"Walking",NA,-0.53448591,-0.53672858,-0.47466113,-0.41247738,-0.35298895,-0.48125359,-0.61460361,-0.57125179,-0.57059857,-0.54077796,-0.46124624,-0.50840655,-0.51350461,-0.57172722,-0.60746109,-0.462964425,-0.47898889,-0.60669708,-0.526984335,-0.42784938,-0.53573425,-0.49964047,-0.52162008,-0.43048852,-0.44350214,-0.48887185,-0.455808345,-0.4528224,-0.52518986,-0.488261495,-0.39148822,-0.30689642,-0.31413537,-0.34402107,-0.44054729,-0.2880163,-0.32406395,NA,NA,NA,NA,-0.42444132,-0.35203251,-0.37497616,-0.37146971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.32999192,-0.35777373,-0.38045957,-0.42099731,-0.26024789,-0.25151273,NA,NA
5,"Walking Upstairs",-0.47572802,-0.48776752,-0.51461753,-0.57900682,-0.64449,-0.632983395,-0.53307427,-0.58550912,-0.61210528,-0.62983215,-0.55694511,-0.50051973,-0.57650326,-0.69137559,-0.65508781,-0.56236288,-0.58301234,-0.43839417,-0.58714637,-0.67969355,-0.51241361,-0.543955745,-0.548352835,-0.65911892,-0.57093677,-0.54670854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.62625312,-0.58476915,-0.55255597,-0.61193721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.59270062,-0.43689669,-0.54518283,-0.53037556,NA,NA,NA,NA,NA,NA,-0.59695916,-0.62134304
5,"Walking Downstairs",-0.53209215,-0.49091169,-0.57016913,-0.56864899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.30510271,-0.58255368,-0.59147807,-0.66729309,-0.63842567,-0.52755513,-0.50945911,-0.61004437,-0.58489503,-0.41528817,-0.56113476,-0.47151311,-0.32149353,-0.48968592,-0.53493316,-0.61056619,-0.578011435,-0.48527726,-0.50153351,-0.31366494,-0.343719145,-0.59330099,-0.57605148,-0.47057171,-0.50897758,-0.64615549,-0.54346094,-0.38846061,-0.4419746,-0.34643103,-0.41113159,-0.23047261,-0.3322266,-0.31241788,-0.28582785
5,"Sitting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.89821795,-0.98832203,-0.98649878,-0.98746341,-0.95013421,-0.98537046,-0.95215344,-0.94010154,NA,NA,NA,NA,-0.93604716,-0.90764175,-0.92201323,-0.92829062,-0.97381616,-0.97749575,-0.98109074,-0.96687577,-0.95334134,NA,NA,NA,NA,-0.96451884,-0.98708823,-0.98639863,-0.98029589,-0.97787409,-0.97422379,-0.98839132,-0.98614017,-0.9830139,-0.98380036,-0.98939201,-0.99224762,-0.99051235,-0.98985133,-0.99081078,-0.96645835,-0.9686102,NA,NA,-0.99072022,-0.99118899,-0.94219881,-0.93833995,-0.98670498,-0.9809777,-0.98213607,-0.98785404,-0.98775945,-0.98733534
5,"Standing",-0.9633712,-0.96389058,-0.99603701,-0.9120949,-0.93712304,-0.90593325,-0.91434452,-0.95973229,-0.91562521,-0.90884075,-0.9937709,-0.99570123,-0.93920265,-0.96681546,-0.98161262,-0.98172102,-0.98861035,-0.99208809,-0.9771787,-0.97590258,-0.99507859,-0.99386552,-0.99477296,-0.881056995,-0.88311185,-0.91946371,-0.99699718,-0.9971574,-0.99650205,-0.93087763,-0.92976945,-0.92697181,-0.90845053,-0.90095396,-0.96219395,-0.98080158,-0.91605972,NA,-0.98161738,-0.97675943,-0.89279083,-0.9008632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.63695019,-0.93231203,-0.94719308,-0.93688114,-0.97931789,-0.95082305,-0.94716085,-0.94345714,-0.94636783,-0.97657805,-0.99044426,-0.99318181,-0.93036893,-0.9591966
